"Ukazatel","IndicatorType","Odvětví ekonomické činnosti","CZNACEMZDY","Šetření","ZJIST","Kraje","Uz2","Roky","CasR","Hodnota"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Královéhradecký kraj","CZ052","2016","2016","6.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Královéhradecký kraj","CZ052","2017","2017","5.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Královéhradecký kraj","CZ052","2018","2018","5.4"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Královéhradecký kraj","CZ052","2019","2019","6.7"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Královéhradecký kraj","CZ052","2020","2020","5.4"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Královéhradecký kraj","CZ052","2021","2021","5.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Královéhradecký kraj","CZ052","2022","2022","5.7"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Pardubický kraj","CZ053","2010","2010","4.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Pardubický kraj","CZ053","2011","2011","4.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Pardubický kraj","CZ053","2012","2012","3.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Pardubický kraj","CZ053","2013","2013","3.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Pardubický kraj","CZ053","2014","2014","4.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Pardubický kraj","CZ053","2015","2015","5"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Pardubický kraj","CZ053","2016","2016","5.6"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Pardubický kraj","CZ053","2017","2017","4.1"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Pardubický kraj","CZ053","2018","2018","3.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Pardubický kraj","CZ053","2019","2019","4.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Pardubický kraj","CZ053","2020","2020","4.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Pardubický kraj","CZ053","2021","2021","4.1"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Pardubický kraj","CZ053","2022","2022","4.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Kraj Vysočina","CZ063","2010","2010","2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Kraj Vysočina","CZ063","2011","2011","2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Kraj Vysočina","CZ063","2012","2012","1.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Kraj Vysočina","CZ063","2013","2013","2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Kraj Vysočina","CZ063","2014","2014","2.4"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Kraj Vysočina","CZ063","2015","2015","3"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Kraj Vysočina","CZ063","2016","2016","2.5"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Kraj Vysočina","CZ063","2017","2017","2.7"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Kraj Vysočina","CZ063","2018","2018","2.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Kraj Vysočina","CZ063","2019","2019","3.3"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Kraj Vysočina","CZ063","2020","2020","2.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Kraj Vysočina","CZ063","2021","2021","3.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Kraj Vysočina","CZ063","2022","2022","2.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2010","2010","16.5"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2011","2011","19.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2012","2012","17.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2013","2013","18.7"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2014","2014","19.6"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2015","2015","20"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2016","2016","21.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2017","2017","20.1"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2018","2018","19.5"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2019","2019","20.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2020","2020","18.5"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2021","2021","17.7"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2022","2022","17.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Olomoucký kraj","CZ071","2010","2010","6.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Olomoucký kraj","CZ071","2011","2011","6.6"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Olomoucký kraj","CZ071","2012","2012","7.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Olomoucký kraj","CZ071","2013","2013","6.5"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Olomoucký kraj","CZ071","2014","2014","6.7"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Olomoucký kraj","CZ071","2015","2015","7.1"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Olomoucký kraj","CZ071","2016","2016","7.6"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Olomoucký kraj","CZ071","2017","2017","8.6"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Olomoucký kraj","CZ071","2018","2018","7.4"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Olomoucký kraj","CZ071","2019","2019","7.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Olomoucký kraj","CZ071","2020","2020","6.9"
